rank1,rank2,rank3,count
2.0,,,695
3.0,1.0,,639
1.0,3.0,,594
1.0,,,458
3.0,1.0,2.0,447
3.0,,,381
3.0,2.0,5.0,355
2.0,5.0,,351
3.0,2.0,1.0,338
1.0,3.0,2.0,334
4.0,,,268
2.0,1.0,,257
2.0,5.0,1.0,257
3.0,2.0,,252
5.0,,,215
1.0,2.0,,207
1.0,2.0,3.0,205
5.0,2.0,,204
2.0,3.0,5.0,200
2.0,5.0,3.0,196
1.0,2.0,5.0,188
2.0,3.0,1.0,164
2.0,1.0,3.0,133
3.0,1.0,5.0,130
1.0,3.0,5.0,130
2.0,1.0,5.0,129
1.0,5.0,2.0,120
5.0,2.0,1.0,106
2.0,3.0,,105
3.0,5.0,2.0,86
2.0,2.0,2.0,80
1.0,5.0,,78
5.0,2.0,3.0,78
1.0,5.0,3.0,78
5.0,1.0,2.0,63
5.0,1.0,,53
3.0,5.0,1.0,45
4.0,1.0,5.0,43
5.0,3.0,2.0,40
4.0,1.0,,39
2.0,5.0,4.0,37
4.0,5.0,2.0,36
5.0,4.0,,34
4.0,5.0,,33
2.0,4.0,,30
5.0,1.0,3.0,30
5.0,2.0,4.0,30
4.0,4.0,4.0,29
3.0,5.0,,27
1.0,5.0,4.0,26
4.0,5.0,1.0,22
5.0,3.0,1.0,22
1.0,1.0,1.0,20
5.0,4.0,1.0,19
2.0,4.0,5.0,19
1.0,4.0,,17
1.0,4.0,5.0,17
5.0,3.0,,17
4.0,2.0,,16
4.0,2.0,5.0,16
3.0,3.0,3.0,16
2.0,2.0,,15
5.0,4.0,2.0,13
4.0,5.0,3.0,10
5.0,5.0,5.0,10
2.0,1.0,4.0,9
5.0,1.0,4.0,8
1.0,2.0,4.0,8
4.0,2.0,1.0,7
5.0,3.0,4.0,6
2.0,3.0,4.0,5
3.0,2.0,3.0,5
3.0,1.0,4.0,5
,,2.0,5
,2.0,,5
1.0,4.0,3.0,4
5.0,4.0,3.0,4
3.0,2.0,4.0,4
2.0,4.0,1.0,4
1.0,4.0,2.0,4
3.0,4.0,1.0,4
3.0,3.0,,4
5.0,1.0,5.0,3
1.0,3.0,4.0,3
5.0,,2.0,3
5.0,3.0,3.0,3
5.0,5.0,,3
,1.0,,3
2.0,,1.0,3
5.0,3.0,5.0,3
4.0,4.0,,3
5.0,5.0,1.0,3
1.0,4.0,4.0,3
5.0,5.0,2.0,3
2.0,2.0,3.0,3
3.0,,1.0,3
2.0,5.0,2.0,3
4.0,3.0,1.0,3
,5.0,,3
3.0,5.0,4.0,3
3.0,,5.0,3
2.0,3.0,2.0,3
3.0,4.0,,2
1.0,2.0,2.0,2
4.0,3.0,2.0,2
3.0,4.0,5.0,2
3.0,4.0,2.0,2
,5.0,5.0,2
3.0,3.0,2.0,2
1.0,1.0,,2
4.0,3.0,5.0,2
2.0,,2.0,2
4.0,2.0,3.0,2
4.0,1.0,2.0,2
4.0,1.0,3.0,2
1.0,,3.0,2
4.0,1.0,4.0,2
2.0,2.0,5.0,2
4.0,2.0,4.0,2
,3.0,3.0,1
,,3.0,1
,3.0,2.0,1
,3.0,1.0,1
,,1.0,1
,2.0,1.0,1
,2.0,5.0,1
,4.0,1.0,1
1.0,1.0,5.0,1
,5.0,3.0,1
5.0,,3.0,1
,3.0,,1
4.0,5.0,4.0,1
5.0,5.0,4.0,1
4.0,1.0,1.0,1
2.0,5.0,5.0,1
2.0,4.0,4.0,1
3.0,2.0,2.0,1
2.0,4.0,2.0,1
3.0,3.0,4.0,1
1.0,1.0,2.0,1
3.0,,3.0,1
3.0,,4.0,1
4.0,3.0,,1
5.0,4.0,4.0,1
4.0,4.0,1.0,1
2.0,2.0,1.0,1
2.0,1.0,2.0,1
1.0,,5.0,1
4.0,,4.0,1
4.0,,5.0,1
5.0,2.0,2.0,1
1.0,2.0,1.0,1
,,4.0,1
